"element_id","element_name","scale_id","value","descr"
"2.B.5.b","Management of Financial Resources","LV",2,"Use available funds to buy office supplies and record the amount of the purchase"
"2.B.5.c","Management of Material Resources","LV",2,"Reserve a room for a management meeting"
"2.B.5.d","Management of Personnel Resources","LV",2,"Encourage a coworker who is having difficulty finishing a project"
"2.C.10","Transportation","LV",2,"Ride a train to work"
"2.C.1.a","Administration and Management","LV",2,"Sign a pay voucher"
"2.C.1.b","Clerical","LV",2,"File letters alphabetically"
"2.C.1.c","Economics and Accounting","LV",2,"Answer billing questions from credit card customers"
"2.C.1.d","Sales and Marketing","LV",2,"Sell cakes at a bake sale"
"2.C.1.e","Customer and Personal Service","LV",2,"Process customer dry-cleaning drop off"
"2.C.1.f","Personnel and Human Resources","LV",2,"Fill out a medical claim form"
"2.C.2.a","Production and Processing","LV",2,"Put a computer back into its packing materials"
"2.C.2.b","Food Production","LV",2,"Keep an herb box in the kitchen"
"2.C.3.a","Computers and Electronics","LV",1,"Operate a VCR to watch a pre-recorded training tape"
"2.C.3.b","Engineering and Technology","LV",2,"Install a door lock"
"2.C.3.c","Design","LV",2,"Draw a straight line 4 3/16 inches long"
"2.C.3.d","Building and Construction","LV",2,"Choose the proper type of wood for adding a deck onto a house"
"2.C.3.e","Mechanical","LV",2,"Replace the filters in a furnace"
"2.C.4.a","Mathematics","LV",1,"Add two numbers"
"2.C.4.b","Physics","LV",1,"Use a crowbar to pry open a box"
"2.C.4.c","Chemistry","LV",2,"Use a common household bug spray"
"2.C.4.d","Biology","LV",1,"Feed domestic animals"
"2.C.4.e","Psychology","LV",2,"Monitor several children on a playground"
"2.C.4.f","Sociology and Anthropology","LV",2,"Identify two cultures in a story as being different"
"2.C.4.g","Geography","LV",2,"Know the capital of the United States"
"2.C.5.a","Medicine and Dentistry","LV",1,"Use a band-aid"
"2.C.5.b","Therapy and Counseling","LV",2,"Put ice on a sprained ankle"
"2.C.6","Education and Training","LV",2,"Show someone how to bowl"
"2.C.7.a","English Language","LV",2,"Write a thank you note"
"2.C.7.b","Foreign Language","LV",1,"Say please and thank you in a foreign language"
"2.C.7.c","Fine Arts","LV",1,"Attend a popular music concert"
"2.C.7.d","History and Archeology","LV",3,"Take a class in US history"
"2.C.7.e","Philosophy and Theology","LV",2,"Watch a TV program on family values"
"2.C.8.a","Public Safety and Security","LV",1,"Use a seatbelt"
"2.C.8.b","Law and Government","LV",2,"Register to vote in a national election"
"2.C.9.a","Telecommunications","LV",1,"Dial a phone"
"2.C.9.b","Communications and Media","LV",2,"Write a thank you note"
"4.A.1.a.1","Getting Information","LV",2,"Follow a standard blueprint"
"4.A.1.a.2","Monitor Processes, Materials, or Surroundings","LV",2,"Check to see if baking bread is done"
"4.A.1.b.1","Identifying Objects, Actions, and Events","LV",2,"Test an automobile transmission"
"4.A.1.b.2","Inspecting Equipment, Structures, or Material","LV",1,"Check that doors to building are locked"
"4.A.1.b.3","Estimating the Quantifiable Characteristics of Products, Events, or Information","LV",2,"Estimate the size of household furnishings to be crated"
"4.A.2.a.1","Judging the Qualities of Things, Services, or People","LV",2,"Determine whether to remove a tree that has been damaged"
"4.A.2.a.2","Processing Information","LV",2,"Tabulate the costs of parcel deliveries"
"4.A.2.a.3","Evaluating Information to Determine Compliance with Standards","LV",1,"Review forms for completeness"
"4.A.2.a.4","Analyzing Data or Information","LV",1,"Determine the location of a lost order"
"4.A.2.b.1","Making Decisions and Solving Problems","LV",2,"Determine the meal selection for a cafeteria"
"4.A.2.b.2","Thinking Creatively","LV",1,"Change the spacing on a printed report"
"4.A.2.b.3","Updating and Using Relevant Knowledge","LV",2,"Keep up with price changes in a small retail store"
"4.A.2.b.4","Developing Objectives and Strategies","LV",2,"Plan the holiday schedule for an airline workforce"
"4.A.2.b.5","Scheduling Work and Activities","LV",2,"Make appointments for patients using a predetermined schedule"
"4.A.2.b.6","Organizing, Planning, and Prioritizing Work","LV",2,"Organize a work schedule that is repetitive and easy to plan"
"4.A.3.a.1","Performing General Physical Activities","LV",1,"Walk between work stations in a small office"
"4.A.3.a.2","Handling and Moving Objects","LV",2,"Change settings on copy machines"
"4.A.3.a.3","Controlling Machines and Processes","LV",2,"Operate a cash register"
"4.A.3.a.4","Operating Vehicles, Mechanized Devices, or Equipment","LV",2,"Drive a car"
"4.A.3.b.1","Interacting With Computers","LV",2,"Enter employee information into a computer database"
"4.A.3.b.2","Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment","LV",2,"Specify the lighting for a work area"
"4.A.3.b.4","Repairing and Maintaining Mechanical Equipment","LV",2,"Make simple, external adjustments to a door hinge with ordinary hand tools"
"4.A.3.b.5","Repairing and Maintaining Electronic Equipment","LV",1,"Use knobs to adjust a television picture"
"4.A.3.b.6","Documenting/Recording Information","LV",2,"Record the weights of trucks that use the highways"
"4.A.4.a.1","Interpreting the Meaning of Information for Others","LV",1,"Interpret a blood pressure reading"
"4.A.4.a.2","Communicating with Supervisors, Peers, or Subordinates","LV",1,"Write brief notes to others"
"4.A.4.a.3","Communicating with Persons Outside Organization","LV",1,"Have little contact with people outside the organization"
"4.A.4.a.4","Establishing and Maintaining Interpersonal Relationships","LV",1,"Exchange greetings with a coworker"
"4.A.4.a.5","Assisting and Caring for Others","LV",2,"Help a coworker complete an assignment"
"4.A.4.a.6","Selling or Influencing Others","LV",1,"Convince a coworker to assist with an assignment"
"4.A.4.a.7","Resolving Conflicts and Negotiating with Others","LV",2,"Apologize to a customer who complains about waiting too long"
"4.A.4.a.8","Performing for or Working Directly with the Public","LV",1,"Tend a highway toll booth"
"4.A.4.b.1","Coordinating the Work and Activities of Others","LV",2,"Exchange information during a shift change"
"4.A.4.b.2","Developing and Building Teams","LV",1,"Encourage two coworkers to stick with a tough assignment"
"4.A.4.b.3","Training and Teaching Others","LV",2,"Give coworkers brief instructions on a simple procedural change"
"4.A.4.b.4","Guiding, Directing, and Motivating Subordinates","LV",2,"Work occasionally as a backup supervisor"
"4.A.4.b.5","Coaching and Developing Others","LV",2,"Show a coworker how to operate a piece of equipment"
"4.A.4.b.6","Provide Consultation and Advice to Others","LV",1,"Work in a position that requires little advising of others"
"4.A.4.c.1","Performing Administrative Activities","LV",2,"Complete routine paperwork on standard forms"
"4.A.4.c.2","Staffing Organizational Units","LV",1,"Work in a position that has minimal staffing requirements"
"4.A.4.c.3","Monitoring and Controlling Resources","LV",2,"Work as a housekeeper responsible for keeping track of linens"
